,DATE,TOPIC,UPDATE,MORE INFORMATION
0,24 April,Availability of medicines during COVID-19 pandemic,"EMA provided an update on the measures EU authorities are putting in place to support the continued availability of medicines during the pandemic, following a meeting of the EU Executive Steering Group on Shortages of Medicines Caused by Major Events.",EU actions to support availability of medicines during COVID-19 pandemic – update #3(24/04/2020)
1,24 April,Public-health advice during COVID-19 pandemic,"EMA and thenational competent authoritiesreminded patients with suspected or confirmed COVID-19 to report any suspected side effects that they are experiencing with any medicine, including medicines taken to treat COVID-19 and pre-existing conditions. Healthcare professionals treating COVID-19 patients should also report the suspected side effects that their patients are experiencing. These reports help regulators understand how medicines act in patients with COVID-19, complementing the knowledge generated inclinical trialsand other studies.",Reporting suspected side effects of medicines in patients with COVID-19(24/04/2020)
2,23 April,EMA’s governance during COVID-19 pandemic,EMA announced that essential work to combat the COVID-19 pandemic would continue during the Agency’s closure on 27 April and on 1 May 2020.,Essential work to combat the COVID-19 pandemic to continue during EMA's closure on 27 April and on 1 May 2020(23/04/2020)
3,23 April,Public-health advice during COVID-19 pandemic,"EMA reminded patients and healthcare professionals that chloroquine and hydroxychloroquine medicines are known to potentially cause certain side effects, including heart rhythm problems. Healthcare professionals should carefully consider the possibility of heart rhythm problems when treating COVID-19 patients with these medicines, particularly in patients with pre-existing heart problems and with higher doses, and exercise extra caution when combining treatment with other medicines such as azithromycin that have similar effects on the heart.",COVID-19: reminder of risk of serious side effects with chloroquine and hydroxychloroquine(23/04/2020)
4,21 April,International Coalition of Medicines Regulatory Authorities (ICMRA),"EMA participated in theglobal regulators’ meeting on COVID-19-related policy approaches and regulatory flexibilityon Thursday, 16 April, under the umbrella of the International Coalition of Medicines Regulatory Authorities (ICMRA). Participants discussed high-level policy issues and regulatory challenges related to the rapid development of potential COVID-19 treatments and vaccines and the continued availability of medicines during the pandemic, in particular those used in intensive care. The meeting was the first of a series of bi-weekly meetings organised by ICMRA to allow medicine regulators worldwide to exchange information and build synergies for expediting COVID-19 medicine and vaccine development and approval and avoiding medicine shortages. EMA will chair every other meeting.",
5,21 April,Availability of medicines during COVID-19 pandemic,"EMA announced that it had launched, together with EU Member States and the pharmaceutical industry, an enhanced fast-track monitoring system to help prevent and mitigate supply issues with crucial medicines used for treating COVID-19 patients. Initially, the system will focus on medicines used in intensive care, which are in greatest demand, before extending to a broader range of medicines. The monitoring system, which involves each pharmaceutical company appointing an industry single point of contact (iSPOC), was set up by the EU Executive Steering Group on Shortages of Medicines Caused by Major Events in cooperation with pharmaceutical companies in the EU.",Launch of enhanced monitoring system for availability of medicines used for treating COVID-19(21/04/2020)
6,21 April,EMA’s governance during COVID-19 pandemic,EMA decided to continue holding its committee and working-party meetings virtually until the end of May 2020. Stakeholder events planned for May will either be postponed or held virtually. Most EMA staff are also continuing to work remotely until the end of May.,
7,20 April,Guidance for medicine developers and companies on COVID-19,"The European Commission, EMA and the Heads of Medicine Agencies updated theirguidance for pharmaceutical companies on adaptations to the regulatory frameworkto address COVID-19 challenges to covergood manufacturing practice(GMP) andgood distribution practice(GDP) inspections, and the submission ofindividual case safety reports(ICSRs) toEudraVigilance. EMA publishedadditional guidance for qualified persons for pharmcovigilance (QPPV) and marketing authorisation holderson how to submit COVID-19-related ICSRs toEudraVigilance, including on the use of the correct Medical Dictionary for Regulatory Activities (MedDRA) terms and free-text fields.",Update to guidance on regulatory expectations in the context of COVID-19 pandemic(20/04/2020)
8,20 April,Availability of medicines during COVID-19 pandemic,"EMA provided an update on the measures EU authorities are putting place to support the continued availability of medicines during the pandemic, following a meeting of the EU Executive Steering Group on Shortages of Medicines Caused by Major Events. The update covers progress made in setting up an enhanced monitoring system for supply issues with crucial medicines for the treatment of COVID-19 and planned updates to the guidance for pharmaceutical companies on adaptations of the regulatory framework to address COVID-19-related challenges.",EU actions to support availability of medicines during COVID-19 pandemic – update #2(20/04/2020)
9,16 April,International Coalition of Medicines Regulatory Authorities (ICMRA),"The International Coalition of Medicines Regulatory Authorities published areport summarising the third global regulatory workshopon the use of observational studies and real-world data in generating robust evidence on the safety andefficacyof COVID-19 vaccines and treatments. The report provides a snapshot of ongoing and planned observational studies, platforms and registries in various countries and regions around the world. EMA co-chaired the meeting withHealth Canada.",Meeting highlights from ICMRA global regulatory workshop on COVID-19 observational studies and real world data(16/04/2020)
10,10 April,Availability of medicines during COVID-19 pandemic,"EMA, the European Commission and theEuropean medicines regulatory networkpublished guidance for companies on adaptations to the regulatory framework to address challenges arising from the COVID-19 pandemic, with a particular focus on crucial medicines for use in COVID-19 patients.",Guidance on regulatory requirements in the context of the COVID-19 pandemic(10/04/2020)
